$de	$der	1
'mesada	'mesar	1
...apareceu	...Aparecer	1
...desmantelando	...desmantelar	1
.passaram	.passar	1
/cnpu	/cnpr	1
/ou	/ar	1
/partido	/Parter	1
11de	11der	1
12.000km	12.000kr	1
120km	120kr	1
1989tornou	1989tornar	1
1^o^do	1^o^r	1
2009assumiu	2009assumir	1
31de	31der	1
3de	3der	1
40km	40kr	1
5.000km	5.000kr	1
6.202km	6.202kr	1
]m	]r	1
ab-rogou	ab-rogar	1
abafada	abafar	2
abafadas	abafar	2
abafado	abafar	6
abafar	abafar	9
abaixar	abaixar	3
abaixo-assinado	abaixo-assinado	2
abalada	abalar	39
abaladas	abalar	10
abalado	abalar	45
abalam	abalar	2
abalando	abalar	9
abalar	abalar	14
abalara	abalarar	1
abalaram	Abalar	1
abalaram	abalar	11
abalaram	abalarar	3
abalaria	abalar	1
abalariam	abalarir	1
abalasse	abalar	1
abalava	abalar	7
abalava	abalavar	1
abalavam	abalavar	2
abalou	abalar	35
abandona	abandonar	1
abandonada	Abandonar	1
abandonada	abandonar	40
abandonadas	abandonar	12
abandonado	abandonado	3
abandonado	abandonar	90
abandonados	abandonar	23
abandonam	abandonar	2
abandonando	Abandonar	93
abandonando	abandonar	108
abandonar	abandonar	192
abandonara	abandonar	7
abandonara	abandonarar	1
abandonaram	abandonar	47
abandonarem	abandonar	5
abandonaria	abandonar	20
abandonaria	abandonazer	1
abandonariam	abandonar	2
abandonasse	abandonar	11
abandonassem	abandonar	5
abandonava	abandonar	4
abandonavam	abandonar	2
abandonou	abandonar	302
abandoná	abandonar	7
abarcando	abarcar	3
abarcar	abarcar	1
abarcaria	abarcar	3
abarcava	abarcar	1
abarcou	abarcar	3
abarrotar	abarrotar	1
abastada	abastar	5
abastadas	abastar	2
abastado	abastar	1
abastados	abastar	2
abastardar	abastardar	1
abastece	abastecer	2
abastecendo	abastecer	3
abastecer	abastecer	14
abasteceu	abastecer	1
abastecia	abastecer	1
abasteciam	abasteciar	1
abastecida	abastecer	1
abastecidas	abastecer	2
abastecido	abastecer	2
abastecidos	abastecer	2
abastecidos	abastecir	2
abata	abatar	1
abate	abater	1
abatendo	abater	2
abater	abater	7
abatera	abater	5
abatera	abaterar	1
abateram	abater	3
abaterem	abater	1
abateu	abater	20
abatia	abat	1
abatia	abater	5
abatida	abater	1
abatidas	abater	2
abatido	Abater	1
abatido	abater	4
abatidos	abater	6
abatê	abater	1
abdicado	abdicar	3
